Founder.Cell	Metaphase	Chr1	Chr2	Chr3	Chr4	Chr4.	Chr5	Chr6	Chr7	Chr8	Chr9	Chr10	Chr11	Chr12	Chr13	Chr14	Chr15	Chr16	Chr17	Chr18	Chr19	ChrX	ChrY	t.2.4.	t.3.8.	t.10.11.	t.8.Y.	t.1.12.	t.12.2.	t.10.19.	t.11.13.	t.15.1.Y.	t.4.7.	t.8.11.	t.2.4..	t.14.15.	t.3.11.	t.11.17.	t.17.X.	t.9.2.	t.9.3.	t.3.3.	t.7.12.	t.2.11..and.t.11.2.	f.18.14.	f.11.18.	t.3.4.	t.14.5.	t.5.14.	t.7.8.	t.10.11..
20	SVZL-FC	SVZ(L)P2#2	1	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	1	2	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	SVZR-FC0	SVZ(R)P2#11	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	SVZR-FC0	SVZ(R)P2#13	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	SVZR-FC0	SVZ(R)P2#14	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	SVZR-FC0	SVZ(R)P2#18	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	SVZR-FC0	SVZ(R)P2#23	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	SVZR-FC0	SVZ(R)P2#33	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	SVZR-FC0	SVZ(R)P2#39	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	SVZR-FC0	SVZ(R)P2#40	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	SVZR-FC0	SVZ(R)P2#10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	SVZR-FC0	SVZ(R)P2#2	2	2	2	2	2	2	2	2	1	2	2	3	2	2	1	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	SVZR-FC0	SVZ(R)P2#7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	SVZR-FC0	SVZ(R)P2#22	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	SVZR-FC0	SVZ(R)P2#27	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	SVZR-FC0	SVZ(R)P2#37	2	2	2	2	2	2	2	2	2	2	1	2	3	2	2	2	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	SVZR-FC0	SVZ(R)P2#1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	SVZR-FC0	SVZ(R)P2#3	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	SVZR-FC0	SVZ(R)P2#32	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	SVZR-FC0	SVZ(R)P2#31	2	2	1	2	2	1	2	2	2	0	2	1	2	1	1	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	SVZR-FC0	SVZ(R)P2#17	2	2	2	2	1	2	2	2	2	2	2	2	3	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	SVZR-FC0	SVZ(R)P2#6	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	SVZR-FC0	SVZ(R)P2#19	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	SVZR-FC0	SVZ(R)P2#16	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	SVZR-FC0	SVZ(R)P2#41	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	SVZR-FC0	SVZ(R)P2#20	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	2	3	4	4	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	SVZR-FC0	SVZ(R)P2#12	3	3	4	3	4	3	3	2	3	3	3	3	3	3	2	3	2	2	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	SVZR-FC2	SVZ(R)P2#38	2	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	SVZR-FC1	SVZ(R)P2#5	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	SVZR-FC1	SVZ(R)P2#9	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	SVZR-FC1	SVZ(R)P2#36	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	SVZR-FC1	SVZ(R)P2#34	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	SVZR-FC1	SVZ(R)P2#8	4	3	4	2	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	SVZR-FC4	SVZ(R)P2#15	4	4	4	2	4	4	4	3	4	3	4	3	4	4	4	4	2	4	2	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	SVZR-FC4	SVZ(R)P2#26	4	4	4	2	4	4	4	3	3	3	4	4	4	4	4	4	2	4	2	4	2	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	SVZR-FC4	SVZ(R)P2#35	4	4	3	2	4	4	4	3	4	3	2	4	3	4	4	4	1	3	2	4	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	SVZR-FC4	SVZ(R)P2#24	3	4	4	0	4	2	4	2	4	3	2	4	1	4	4	3	2	3	1	4	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	SVZR-FC4	SVZ(R)P2#21	4	3	3	2	4	4	4	3	4	3	3	3	4	3	4	4	2	4	2	4	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	SVZR-FC4	SVZ(R)P2#28*	4	3	3	2	4	3	4	3	4	3	3	3	4	3	4	4	2	4	2	4	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	SVZR-FC4	SVZ(R)P2#4	4	3	3	2	4	4	4	2	4	3	3	3	4	3	4	4	2	4	2	4	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	SVZR-FC4	SVZ(R)P2#30	4	3	3	2	4	4	4	2	4	3	3	2	4	3	4	4	2	3	1	4	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	SVZR-FC4	SVZ(R)P2#29	3	3	2	2	4	4	4	3	3	3	3	2	4	3	2	3	1	4	2	4	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	T1-FC2	T(1)P1#29	2	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	T1-FC2	T(1)P1#30	2	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	T1-FC2	T(1)P1#21	2	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
64	T1-FC2	T(1)P1#22	2	1	3	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	T1-FC2	T(1)P1#9	4	4	6	2	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	T1-FC2	T(1)P1#24	3	4	5	2	4	4	4	4	4	3	4	4	3	4	4	4	2	4	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	T1-FC1	T(1)P1#23	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	T1-FC1	T(1)P1#20	4	4	4	2	4	4	4	4	4	4	3	3	2	4	4	4	2	4	4	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	T1-FC1	T(1)P1#11	4	4	4	2	4	4	4	4	4	4	4	4	2	4	3	4	2	4	3	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	T1-FC1	T(1)P1#32	4	4	4	2	4	4	4	4	4	3	3	4	2	3	4	4	2	4	4	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	T1-FC3a	T(1)P1#6	4	4	4	2	4	4	3	4	4	3	4	4	2	4	4	4	2	4	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	T1-FC3a	T(1)P1#14	4	4	3	2	4	4	4	4	4	3	4	4	2	4	4	4	2	4	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	T1-FC3a	T(1)P1#16	4	3	4	2	4	4	4	4	4	3	4	4	2	4	4	4	2	4	2	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	T1-FC3a	T(1)P1#8	4	4	4	2	4	4	4	4	4	3	4	4	2	4	4	4	2	3	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
75	T1-FC3a	T(1)P1#25	3	4	4	2	4	4	4	5	4	3	4	3	2	4	3	4	2	4	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	T1-FC3a	T(1)P1#3	4	4	4	2	4	3	4	4	4	3	4	3	2	4	4	4	2	4	2	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	T1-FC3a	T(1)P1#5	4	3	4	2	4	4	4	3	4	3	4	3	2	4	4	4	2	4	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	T1-FC3a	T(1)P1#26	4	4	4	2	4	4	4	4	4	3	4	4	2	4	4	4	2	4	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	T1-FC3a	T(1)P1#17	4	4	4	2	4	4	4	4	4	3	4	3	2	4	4	4	2	3	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	T1-FC3a	T(1)P1#2	4	3	4	2	4	4	4	4	4	3	4	4	2	4	4	4	2	4	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	T1-FC3a	T(1)P1#33	4	3	4	2	4	4	4	4	4	3	4	3	2	4	4	4	2	4	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	T1-FC3a	T(1)P1#15	3	3	4	2	4	4	4	4	4	3	4	3	2	4	3	4	2	4	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
83	T1-FC1a	T(1)P1#18	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
84	T1-FC1a	T(1)P1#27	4	4	4	2	4	4	4	4	3	4	4	4	4	4	2	4	2	4	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
85	T1-FC1a	T(1)P1#4	3	4	4	2	4	4	4	4	4	3	4	4	4	4	2	4	2	4	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
86	T1-FC1a	T(1)P1#19	4	3	4	2	4	4	4	4	4	3	4	4	4	4	2	3	2	4	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
87	T1-FC1a	T(1)P1#10	4	4	4	2	4	4	4	4	4	3	4	4	4	3	2	3	2	4	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
88	T1-FC1a	T(1)P1#28	4	4	4	2	4	4	4	4	4	3	3	4	4	4	2	3	2	4	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
89	T1-FC1a	T(1)P1#31	4	4	4	2	4	4	4	4	3	3	4	4	4	4	2	3	2	4	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
90	T1-FC1a	T(1)P1#13	4	4	4	2	4	3	3	3	4	4	4	4	4	3	2	3	2	4	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
91	T1-FC1a	T(1)P1#7	4	4	4	2	4	3	4	3	4	3	3	3	4	4	2	4	2	4	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
92	T1-FC1a	T(1)P1#12	4	3	4	2	4	4	4	4	4	3	4	4	4	4	2	3	2	4	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
93	T2-FC4	T(2)P2#23	3	3	3	3	4	2	3	4	4	2	4	3	2	4	3	4	1	3	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	T2-FC4	T(2)P2#27	4	3	4	3	4	4	4	4	4	2	4	4	2	3	3	4	2	4	2	2	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
95	T2-FC4	T(2)P2#26	3	3	4	3	4	4	4	4	4	3	4	4	2	4	3	4	2	4	2	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
96	T2-FC4	T(2)P2#37	3	4	4	3	4	4	4	4	4	3	3	4	2	4	3	4	2	4	2	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
97	T2-FC4	T(2)P2#39	4	2	3	3	4	3	4	4	4	3	4	4	2	4	3	4	2	4	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	T2-FC3	T(2)P2#7	4	4	4	2	4	4	4	4	4	3	4	3	2	4	5	4	2	3	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99	T2-FC3	T(2)P2#20	4	4	4	2	4	4	4	4	4	2	5	3	2	4	3	4	2	4	2	3	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
100	T2-FC3	T(2)P2#42	4	4	3	2	4	4	4	3	4	3	5	3	2	4	4	4	2	4	2	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	T2-FC3	T(2)P2#25	2	4	3	2	4	2	2	4	4	2	3	2	2	4	3	2	1	4	1	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	T2-FC3	T(2)P2#22	4	4	4	2	4	4	4	4	4	3	3	3	2	4	4	4	2	4	2	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
103	T2-FC3	T(2)P2#2	4	4	4	2	4	4	4	4	4	3	4	3	2	4	4	4	2	4	2	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
104	T2-FC3	T(2)P2#16	4	4	4	2	4	3	4	4	4	3	4	3	2	3	4	4	2	3	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
105	T2-FC3	T(2)P2#8	4	3	4	2	4	4	4	4	4	3	4	3	2	4	4	4	2	4	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
106	T2-FC3	T(2)P2#24	4	3	4	2	4	4	4	4	4	3	4	3	2	4	4	4	2	4	2	3	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
107	T2-FC3	T(2)P2#19	4	3	4	2	4	4	4	4	4	3	4	3	2	4	4	4	2	4	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
108	T2-FC3	T(2)P2#6	4	3	4	2	4	4	3	4	4	3	4	3	2	4	4	4	2	4	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
109	T2-FC3	T(2)P2#3	4	3	4	2	4	4	4	4	4	3	4	3	1	4	3	4	2	4	2	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
110	T2-FC3	T(2)P2#17	4	3	4	2	4	4	4	4	4	3	3	3	2	4	4	4	2	4	2	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
