ID	Chr1	Chr2	Chr3	Chr4	Chr5	Chr6	Chr7	Chr8	Chr9	Chr10	Chr11	Chr12	Chr13	Chr14	Chr15	Chr16	Chr17	Chr18	Chr19	Chr X	t(11;11)	dChr X	f(18;2)	t(2;5)	t(3;11)	t(3;16)	Ring(11;11)	t(X;1)/t(1;X)	f(X;11)	t(14;4)	t(7;14)	f(8;14)	t(9;16)	t(X;16)	t(9;11)	t(1;9)	t(3;1)	t(17;7)	t(4;7)
SVZ(R)P2#9	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#15	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#14	2	2	2	2	2	2	2	2	2	1	1	2	2	2	3	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#4	2	1	1	2	2	2	2	2	2	1	1	2	2	2	2	0	1	2	2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#10	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	2	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#8	1	1	2	3	2	2	1	2	2	2	1	2	2	2	2	1	1	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVZ(R)P2#11	1	1	2	2	0	3	3	2	2	1	1	2	2	2	2	1	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#11	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#24	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#23	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#15	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#14	2	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#7	2	2	2	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
T(L)P3#13	2	2	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#5	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#12	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#20*	3	3	2	2	2	3	2	2	2	3	1	3	2	3	3	2	4	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#22	4	3	5	4	4	4	4	3	3	3	2	4	4	3	4	2	4	4	3	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
T(L)P3#18	4	3	3	3	4	4	3	3	3	3	2	4	3	4	4	2	4	4	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#21	4	3	4	4	4	4	3	4	4	4	2	4	3	4	4	2	4	3	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#19	4	3	4	3	4	3	4	5	4	4	2	5	4	4	4	2	4	4	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
T(L)P3#2	4	4	3	3	4	4	3	4	4	4	2	4	3	4	3	2	4	4	2	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#16	4	4	4	2	4	4	4	4	4	3	1	4	3	4	4	2	4	4	2	2	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
T(L)P3#8	4	4	4	4	4	4	2	3	4	4	2	4	3	3	4	2	4	4	2	2	2	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
T(L)P3#17	4	4	4	3	4	4	4	3	4	4	2	4	3	3	4	2	3	4	2	2	2	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#10	4	4	4	6	4	3	3	4	4	3	2	4	3	3	5	2	3	4	4	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#8	4	4	4	5	3	3	3	4	4	3	2	3	4	4	4	2	3	4	4	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
T(R)P2#20	4	3	2	6	4	3	2	4	4	3	2	4	4	3	5	2	4	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#19	4	3	4	5	4	3	3	4	4	3	2	4	4	4	5	2	4	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#18	4	3	4	5	4	3	3	4	4	3	2	4	4	4	4	2	4	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#2	4	3	4	5	3	3	4	5	4	3	2	4	4	4	5	2	3	3	4	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#23	4	3	4	4	4	3	4	4	4	3	2	4	4	4	6	2	4	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#14	4	3	4	4	4	3	4	4	4	2	2	4	4	4	5	2	4	4	4	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#25	4	3	4	4	4	3	3	3	4	3	2	4	5	4	5	2	5	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#21	4	3	4	3	4	3	3	4	4	3	2	3	4	4	5	2	4	3	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#13	3	3	3	4	3	3	4	3	3	3	2	3	4	4	5	1	4	3	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#3	3	3	3	4	4	4	3	4	3	3	2	4	3	2	3	2	4	4	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#24	3	2	3	3	2	4	2	3	3	3	2	3	2	3	2	1	2	2	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
T(R)P2#17	4	4	5	4	4	3	4	4	4	2	2	4	4	3	4	2	4	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#6	4	3	4	5	4	3	7	4	3	3	2	4	4	4	1	2	5	4	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#9	3	3	4	4	3	3	2	3	3	3	2	3	4	2	5	2	1	4	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#4	4	3	3	1	3	3	4	4	2	4	2	3	3	5	4	2	5	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T(R)P2#1	3	4	4	4	3	4	3	4	3	4	2	3	3	3	3	2	3	3	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0
T(R)P2#5	3	5	3	2	4	3	2	3	5	4	2	3	3	3	4	2	5	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0
T(R)P2#15	3	5	4	3	3	4	3	4	2	2	2	2	3	3	2	1	4	3	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
